NYC subway

http://en.wikipedia.org/wiki/New_York_City_Subway

Line 1

Morrison Avenue-Soundview 		Elder Avenue		
Elder Avenue 				Whitlock Avenue
Whitlock Avenue 			Hunts Point Avenue 	
Hunts Point Avenue 			Longwood Avenue
Longwood Avenue 			East 149th Street
East 149th Street 			East 143rd Street-St. Mary's Street
East 143rd Street-St. Mary's Street	Cypress Avenue 			
Cypress Avenue 				Brook Avenue
Brook Avenue 				Third Avenue-138th Street
Third Avenue-138th Street		125th Street 			
125th Street	   			116th Street
116th Street				110th Street
110th Street				103rd Street
103rd Street				96th Street
96th Street				86th Street
86th Street				77th Street
77th Street				68th Street-Hunter College
68th Street-Hunter College		59th Street
59th Street	   			51st Street
51st Street				42nd Street-Grand Central
42nd Street-Grand Central		33rd Street
33rd Street	  			28th Street
28th Street				23rd Street
23rd Street				14th Street-Union Square
14th Street-Union Square		Astor Place
Astor Place	  			Bleecker Street
Bleecker Street				Spring Street
Spring Street				Canal Street
Canal Street				Brooklyn Bridge-City Hall

Line 7

Flushing-Main Street			Mets-Willets Point
Mets-Willets Point			111th Street
111th Street 				103rd Street-Corona Plaza 			
103rd Street-Corona Plaza 		Junction Boulevard
Junction Boulevard  			90th Street-Elmhurst Avenue
90th Street-Elmhurst Avenue		82nd Street-Jackson Heights 			
82nd Street-Jackson Heights		74th Street-Broadway
74th Street-Broadway			69th Street 			
69th Street 				Woodside-61st Street		
Woodside-61st Street			52nd Street
52nd Street 				46th Street-Bliss Street	
46th Street-Bliss Street		40th Street-Lowery Street
40th Street-Lowery Street 		33rd Street-Rawson Street
33rd Street-Rawson Street		Queensboro Plaza 			
Queensboro Plaza   			45th Road-Court House Square
45th Road-Court House Square		Hunterspoint Avenue
Hunterspoint Avenue   			Vernon Boulevard-Jackson Avenue
Vernon Boulevard-Jackson Avenue		Grand Central
Grand Central		 		Fifth Avenue-Bryant Park
Fifth Avenue-Bryant Park		Times Square
Times Square	    			10th Avenue
10th Avenue				34th Street-Jacob Javits Convention Center

Line A

Inwood–207th Street			Dyckman Street 
Dyckman Street 				190th Street
190th Street 				181st Street
181st Street				175th Street 			
175th Street				168th Street
168th Street				163rd Street–Amsterdam Avenue
163rd Street–Amsterdam Avenue 		155th Street		
155th Street	       			145th Street 			
145th Street				135th Street
135th Street				125th Street 			
125th Street				116th Street
116th Street 				110th Street–Cathedral Parkway
110th Street–Cathedral Parkway 		103rd Street		
103rd Street 				96th Street
96th Street 				86th Street
86th Street 				81st Street–Museum of Natural History
81st Street–Museum of Natural History	72nd Street 			
72nd Street 		      		59th Street–Columbus Circle	
59th Street–Columbus Circle		50th Street
50th Street	     			42nd Street–Port Authority Bus Terminal
42nd Street–Port Authority Bus Terminal	34th Street–Penn Station
34th Street–Penn Station       		23rd Street
23rd Street	 			14th Street
14th Street				West Fourth Street–Washington Square
West Fourth Street–Washington Square	Spring Street
Spring Street		      		Canal Street
Canal Street				Chambers Street
Chambers Street				Broadway–Nassau Street
Broadway–Nassau Street			High Street–Brooklyn Bridge
High Street–Brooklyn Bridge		Jay Street–Borough Hall
Jay Street–Borough Hall			Hoyt–Schermerhorn Streets
Hoyt–Schermerhorn Streets		Lafayette Avenue
Lafayette Avenue 			Clinton–Washington Avenues
Clinton–Washington Avenues 		Franklin Avenue
Franklin Avenue	   			Nostrand Avenue
Nostrand Avenue				Kingston–Throop Avenues
Kingston–Throop Avenues			Utica Avenue
Utica Avenue				Ralph Avenue
Ralph Avenue 				Rockaway Avenue
Rockaway Avenue 			Broadway Junction			
Broadway Junction			Liberty Avenue
Liberty Avenue 				Van Siclen Avenue
Van Siclen Avenue 			Shepherd Avenue
Shepherd Avenue				Euclid Avenue 			
Euclid Avenue				Grant Avenue
Grant Avenue 				80th Street
80th Street 				88th Street
88th Street 				Rockaway Boulevard

104th Street 				111th Street
111th Street 				Ozone Park–Lefferts Boulevard	
Ozone Park–Lefferts Boulevard

Aqueduct Racetrack			Aqueduct–North Conduit Avenue
Aqueduct–North Conduit Avenue		Howard Beach–JFK Airport 			
Howard Beach–JFK Airport		Broad Channel
Broad Channel

Beach 67th Street			Beach 60th Street	
Beach 60th Street 			Beach 44th Street
Beach 44th Street 			Beach 36th Street
Beach 36th Street 			Beach 25th Street
Beach 25th Street 			Far Rockaway–Mott Avenue

Beach 90th Street			Beach 98th Street
Beach 98th Street			Beach 105th Street
Beach 105th Street			Rockaway Park–Beach 116th Street


Line B

Bedford Park Boulevard				Kingsbridge Road
Kingsbridge Road				Fordham Road
Fordham Road					182nd–183rd Streets
182nd–183rd Streets				Tremont Avenue
Tremont Avenue					174th–175th Streets
174th–175th Streets				170th Street
170th Street					167th Street
167th Street					161st Street–Yankee Stadium
161st Street–Yankee Stadium			155th Street
155th Street	    				145th Street
145th Street					135th Street
135th Street					125th Street
125th Street					116th Street
116th Street					110th Street–Cathedral Parkway
110th Street–Cathedral Parkway			103rd Street
103rd Street	       				96th Street
96th Street					86th Street
86th Street					81st Street–Museum of Natural History
81st Street–Museum of Natural History		72nd Street
72nd Street	      	      			59th Street–Columbus Circle
59th Street–Columbus Circle			Seventh Avenue
Seventh Avenue	     				47th–50th Streets–Rockefeller Center
47th–50th Streets–Rockefeller Center		42nd Street–Bryant Park
42nd Street–Bryant Park	      			34th Street–Herald Square
34th Street–Herald Square			West Fourth Street–Washington Square
West Fourth Street–Washington Square		Broadway–Lafayette Street
Broadway–Lafayette Street     			Grand Street
Grand Street	   				DeKalb Avenue
DeKalb Avenue					Atlantic Avenue
Atlantic Avenue					Seventh Avenue
Seventh Avenue					Prospect Park 
Prospect Park 					Church Avenue 
Church Avenue 					Newkirk Avenue
Newkirk Avenue					Kings Highway 
Kings Highway 					Sheepshead Bay
Sheepshead Bay					Brighton Beach

Line C

168th Street					163rd Street–Amsterdam Avenue
163rd Street–Amsterdam Avenue 			155th Street		
155th Street 	       				145th Street			
145th Street 					135th Street
135th Street 					125th Street
125th Street 					116th Street 
116th Street 					110th Street–Cathedral Parkway
110th Street–Cathedral Parkway			103rd Street
103rd Street	       				96th Street 
96th Street 					86th Street 
86th Street 					81st Street–Museum of Natural History 
81st Street–Museum of Natural History 		72nd Street 
72nd Street 	      	      			59th Street–Columbus Circle
59th Street–Columbus Circle 			50th Street
50th Street 	     				42nd Street–Port Authority Bus Terminal
42nd Street–Port Authority Bus Terminal 	34th Street–Penn Station
34th Street–Penn Station       			23rd Street 
23rd Street 	 				14th Street	
14th Street 					West Fourth Street–Washington Square
West Fourth Street–Washington Square		Canal Street
Canal Street 		      			Chambers Street
Chambers Street 				Broadway–Nassau Street
Broadway–Nassau Street				High Street–Brooklyn Bridge
High Street–Brooklyn Bridge			Jay Street–Borough Hall
Jay Street–Borough Hall 			Hoyt–Schermerhorn Streets
Hoyt–Schermerhorn Streets			Lafayette Avenue
