Name	Latitude	 Longitude	Date	Line
Gangbyeon	37.535	127.094722	1980	Line 2
Seongnae	37.520278	127.103889	1980	Line 2
Jamsil	37.513333	127.100278	1980	Line 2
Sincheon	37.511389	127.086111	1980	Line 2
SportsComplex	37.511111	127.073611	1980	Line 2
Samseong	37.508744	127.063519	1982	Line 2
Seolleung	37.50445	127.048986	1982	Line 2
Yeoksam	37.500786	127.036886	1982	Line 2
Gangnam	37.497928	127.027583	1982	Line 2
SeoulNatlUnivofEduc	37.493611	127.013611	1982	Line 2
Seocho	37.491944	127.008056	1983	Line 2
Bangbae	37.481389	126.997778	1983	Line 2
Sadang	37.476389	126.981667	1983	Line 2
Nakseongdae	37.476944	126.963889	1983	Line 2
SeoulNationalUniversity	37.481111	126.952778	1983	Line 2
Bongcheon	37.4825	126.941944	1984	Line 2
Sillim	37.484167	126.929722	1984	Line 2
Sindaebang	37.487222	126.913056	1984	Line 2
GuroDigitalComplex	37.485278	126.901389	1984	Line 2
Daerim	37.493333	126.895	1984	Line 2
Sindorim	37.509167	126.891111	1984	Line 2
Mullae	37.518889	126.895	1984	Line 2
Yeongdeungpo-guOffice	37.524039	126.89622	1984	Line 2
Dangsan	37.534444	126.902222	1984	Line 2
Hapjeong	37.549167	126.913611	1984	Line 2
HongikUniversity	37.556667	126.923611	1984	Line 2
Sinchon	37.555278	126.936944	1984	Line 2
EwhaWomansUniversity	37.556667	126.945833	1984	Line 2
Ahyeon	37.557411	126.956158	1984	Line 2
Chungjeongno	37.56	126.963611	1984	Line 2
CityHall	37.564722	126.976944	1984	Line 2
Yongdap	37.561895	127.050903	1983	Line 2
Sindap	37.570038	127.046451	1983	Line 2
Yongdu	37.573996	127.038093	2005	Line 2
Sinseol-dong	37.574444	127.022778	1980	Line 2
Dorimcheon	37.514444	126.882778	1992	Line 2
Yangcheon-guOffice	37.512222	126.865556	1992	Line 2
Sinjeongnegeori	37.52	126.852778	1996	Line 2
Kkachisan	37.531667	126.846667	1996	Line 2
Daehwa	37.676111	126.7475	1996	Line 3
Juyeop	37.670158	126.761244	1996	Line 3
Jeongbalsan	37.659675	126.773292	1996	Line 3
Madu	37.652143	126.777624	1996	Line 3
Baekseok	37.643024	126.787961	1996	Line 3
Daegok	37.630875	126.810533	1996	Line 3
Hwajeong	37.634553	126.832668	1996	Line 3
Wondang	37.653332	126.843059	1996	Line 3
Samsong	37.653052	126.895657	1996	Line 3
Jichuk	37.647989	126.913912	1990	Line 3
Gupabal	37.636762	126.918815	1985	Line 3
Yeonsinnae	37.618825	126.921358	1985	Line 3
Bulgwang	37.610913	126.929496	1985	Line 3
Nokbeon	37.600959	126.93566	1985	Line 3
Hongje	37.588693	126.9442	1985	Line 3
Muakjae	37.582312	126.950299	1985	Line 3
Dongnimmun	37.57437	126.958002	1985	Line 3
Gyeongbokgung	37.575752	126.973549	1985	Line 3
Anguk	37.576496	126.985431	1985	Line 3
Jongno3-ga	37.57	126.991667	1985	Line 3
Euljiro3-ga	37.566294	126.992781	1985	Line 3
Chungmuro	37.56127	126.994314	1985	Line 3
DonggukUniversity	37.559067	127.005435	1985	Line 3
Yaksu	37.554759	127.010611	1985	Line 3
Geumho	37.547993	127.015858	1985	Line 3
Oksu	37.54061	127.01888	1985	Line 3
Apgujeong	37.527077	127.028443	1985	Line 3
Sinsa	37.516279	127.020053	1985	Line 3
Jamwon	37.51287	127.011352	1985	Line 3
ExpressBusTerminal	37.504913	127.004909	1985	Line 3
SeoulNatlUnivofEduc	37.493611	127.013611	1985	Line 3
NambuBusTerminal	37.484986	127.016249	1985	Line 3
Yangjae	37.484522	127.033904	1985	Line 3
Maebong	37.48708	127.046971	1993	Line 3
Dogok	37.490868	127.055351	1993	Line 3
Daechi	37.494554	127.063445	1993	Line 3
Hangnyeoul	37.496567	127.070183	1993	Line 3
Daecheong	37.493588	127.079512	1993	Line 3
Irwon	37.4837	127.084372	1993	Line 3
Suseo	37.487305	127.101619	1993	Line 3
Danggogae	37.669583	127.079367	1993	Line 4
Sanggye	37.661057	127.073434	1985	Line 4
Nowon	37.65636	127.063553	1985	Line 4
Chang-dong	37.6525	127.046944	1985	Line 4
Ssangmun	37.648656	127.03473	1985	Line 4
Suyu	37.638041	127.02568	1985	Line 4
Mia	37.626477	127.026072	1985	Line 4
Miasamgeori	37.613165	127.030052	1985	Line 4
Gireum	37.603323	127.024956	1985	Line 4
SungshinWomensUniv	37.592595	127.016319	1985	Line 4
HansungUniversity	37.588472	127.006202	1985	Line 4
Hyehwa	37.582176	127.001873	1985	Line 4
Dongdaemun	37.570556	127.008333	1985	Line 4
DongdaemunStadium	37.565	127.007778	1985	Line 4
Chungmuro	37.56127	126.994314	1985	Line 4
Myeong-dong	37.560925	126.986396	1985	Line 4
Hoehyeon	37.558523	126.978242	1985	Line 4
SeoulStation	37.555023	126.972449	1985	Line 4
SookmyungWomensUniv	37.544577	126.9721	1985	Line 4
Samgakji	37.535543	126.973956	1985	Line 4
Sinyongsan	37.529157	126.967884	1985	Line 4
Ichon	37.52254	126.97316	1985	Line 4
Dongjak	37.502713	126.980367	1985	Line 4
Isu-ChongshinUniversity	37.485394	126.982158	1985	Line 4
Sadang	37.476389	126.981667	1985	Line 4
Namtaeryeong	37.463856	126.989143	1994	Line 4
Seonbawi	37.451712	127.002291	1994	Line 4
SeoulRacecoursePark	37.443701	127.007908	1994	Line 4
SeoulGrandPark	37.435659	127.006545	1994	Line 4
Gwacheon	37.432963	126.996256	1994	Line 4
GovernmentComplexGwacheon	37.426501	126.989653	1994	Line 4
Indeogwon	37.401631	126.976724	1993	Line 4
