UniqueNameofStation	Position	OpeningYearOfStation	Comment
Aeroport	"55.800833, 37.531111"	1938	
Ulitsa Akademika Yangelya	"55.595721, 37.592258"	2000
Ulitsa Gorchakova	"55.542104, 37.532921"	2003
Ulitsa Podbelskogo	"55.814444, 37.733889"	1990
Ulitsa Skobelevskaya	"55.548056, 37.554444"	2003
Universitet	"55.692, 37.533"	1959
Varshavskaya	"55.653333, 37.619444"	1969
VDNKh	"55.822283, 37.641494"	1958
Vladykino	"55.847222, 37.589722"	1991
Vodny Stadion	"55.839722, 37.486389"	1964
Volgogradsky Prospekt	"55.743734, 37.643967"	1966
Volzhskaya	"55.690556, 37.755556"	1995
Vorobyovy Gory	"55.710544, 37.559447"	1958
Voykovskaya	"55.819167, 37.4975"	1964
Vykhino	"55.715804, 37.818023"	1966
Vystavochnaya	"55.748611, 37.538056"	2005
Yasenevo	"55.606111, 37.533056"	1990
Yugo-Zapadnaya	"55.663611, 37.482778"	1963
Yuzhnaya	"55.622298, 37.608994"	1983
